Designator,Footprint,Quantity,Value,LCSC Part #
BUZ1,"BUZZER,7.5x7.5mm",1,~,MLT-7525
C1,C_0402_1005_DensityHigh,1,4.7uF,CL05A475MP5NRNC
"C10, C11, C12, C13, C14, C4, C5, C6, C7, C8, C9",C_0402_1005_DensityMedium,11,100nF,CL05B104KO5NNNC
C15,C_0402_1005_DensityMedium,1,4.7uF,CL05A475MP5NRNC
"C16, C17",C_0402_1005_DensityMedium,2,15pF,0402CG150J500NT
"C18, C19, C24, C27, C28, C30, C32, C33",C_0603_1608_DensityHigh,8,100nF,CC0603KRX7R9BB104
"C2, C3",C_0402_1005_DensitySpaced,2,4.7uF,CL05A475MP5NRNC
"C22, C23, C29, C31",C_0603_1608_DensityHigh,4,10nF,0603B103K500NT
"C25, C26",C_0603_1608_DensityHigh,2,4.7uF,CL10A475KO8NNNC
D1,D_SOD-323,1,~,1N4148WS
D2,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6
D3,D_SOD-123,1,~,B5819W SL
F1,1210,1,Fuse,SMD1210B075TF/24
"J1, J2",DF11-10DS-2DSA,2,DF11-10DS-2DSA,DF11-10DS-2DSA
"J10, J11, J12, J7, J8, J9",502352_0201,6,Molex_01x02,502352-0201
J3,Molex_472192001_uSD,1,Micro_SD_Card,47219-2001
J5,USB4105_GCT,1,USBC_Conn,USB4085-GF-A
J6,RJ45_56L-88112011,1,RJ45_LED_Shielded,56L-88112011
L1,L_AOTA_B20_2016,1,3.3uH,AOTA-B201610S3R3-101-T
L2,1206,1,12uH,CMI321609X100KT
LED1,0603,1,Green,KT-0603G
LED2,0603,1,Red, KT-0603R
"R1, R2",R_0603_1608_DensityHigh,2,27R,0603WAF270JT5E
"R10, R9",R_0603_1608_DensityHigh,2,4.7kR,0603WAF4701T5E
"R11, R12",R_0603_1608_DensityHigh,2,5.1kR,0603WAF5101T5E
"R14, R15",R_0603_1608_DensityHigh,2,220R,0603WAF2200T5E
R16,R_0603_1608_DensityHigh,1,120R,0603WAF1200T5E
"R17, R18, R19",R_1206_3216_DensityHigh_Large,3,0.1R,1206W4F100LT5E
R20,R_0603_1608_DensityHigh,1,120kR,0603WAF1203T5E
R21,R_0603_1608_DensityHigh,1,13kR,0603WAF1302T5E
R3,R_0402_1005_DensityHigh,1,33R,0402WGF330JTCE
R4,R_0603_1608_DensityHigh,1,10kR,0603WAF1002T5E
R5,R_0603_1608_DensityHigh,1,1kR,0603WAF1001T5E
R6,R_0402_1005_DensityHigh,1,1kR,0402WGF1001TCE
"R7, R8",R_0603_1608_DensityHigh,2,51R,0603WAF510JT5E
U1,RP2350B_80QFN,1,RP2350B,RP2350B
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,S25FL128,S25FL128LAGMFI013
U3,SOT-223-3_TabPin2,1,NCP1117_3.3,NCP1117LPST33T3G
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX490ESA+T,MAX490ESA+T
U5,SOT-23-5,1,LM27313,LM27313XMFX/NOPB
U6,PAC1934T-I_JQ,1,PAC1934,PAC1934T-I/JQ
"U7, U8",MCP9600L00,2,MCP96R00,MCP96RL00-E/MX
U9,STS4LAD1BR3,1,STS4x,STS4L-AD1B-R3
X1,ABM8272T3,1,ABM8-272-T3,ABM8-272-T3
