Designator,Mid X,Mid Y,Rotation,Layer
BUZ1,61.8,23.2,0.0,top
C1,43.325,44.75,270.0,top
C10,45.485,42.55,0.0,top
C11,36.6,47.4,90.0,top
C12,33.0,45.4,180.0,top
C13,29.1,38.45,0.0,top
C14,45.985,38.75,180.0,top
C15,39.385,29.95,90.0,top
C16,36.61,27.83,180.0,top
C17,39.58,27.83,0.0,top
C18,40.925,54.025,270.0,top
C19,3.4,33.0,90.0,bottom
C2,40.985,44.3,0.0,top
C22,62.9,51.7,0.0,top
C23,55.1,49.1,90.0,top
C24,23.35,41.0,0.0,top
C25,69.4,13.55,180.0,top
C26,73.3,23.35,0.0,top
C27,54.35,19.26,270.0,top
C28,51.95,16.26,0.0,top
C29,17.0,11.26,0.0,bottom
C3,40.985,45.25,0.0,top
C30,21.8,16.66,270.0,top
C31,29.0,11.26,0.0,bottom
C32,33.8,16.66,270.0,top
C33,17.2,24.8,270.0,top
C4,29.5,41.4,180.0,top
C5,29.985,36.05,180.0,top
C6,35.3,30.95,270.0,top
C7,36.6,30.95,270.0,top
C8,44.8,33.25,270.0,top
C9,45.99,37.75,0.0,top
D1,55.6,23.6,270.0,top
D2,53.5,53.15,90.0,top
D3,70.6,15.75,0.0,top
F1,62.9,58.75,180.0,top
FID1,7.5,51.25,0.0,top
FID2,7.5,9.6,0.0,top
FID3,77.5,13.75,0.0,top
J1,61.0,33.15,90.0,bottom
J10,17.0,6.2,0.0,top
J11,29.0,6.2,0.0,top
J12,6.2,17.0,270.0,top
J2,21.0,33.15,270.0,bottom
J3,7.8,33.5,270.0,top
J5,53.3,61.55,180.0,top
J6,21.296,55.4825,180.0,top
J7,41.0,6.2,0.0,top
J8,53.0,6.2,0.0,top
J9,65.0,6.2,0.0,top
L1,40.985,46.9,0.0,top
L2,69.7,19.95,90.0,top
LED1,48.1,35.35,90.0,top
LED2,50.3,35.35,90.0,top
R1,37.8,47.4,270.0,top
R10,31.75,28.75,180.0,top
R11,49.3,55.5674,0.0,top
R12,59.7,55.55,0.0,top
R14,15.7,53.55,0.0,bottom
R15,28.35,53.5,0.0,bottom
R16,17.05,43.55,90.0,top
R17,38.825,13.86,0.0,top
R18,50.75,13.86,0.0,top
R19,62.75,13.86,0.0,top
R2,38.8,47.4,270.0,top
R20,77.1,17.95,180.0,bottom
R21,77.1,19.35,0.0,bottom
R3,43.325,46.6,90.0,top
R4,40.825,60.025,270.0,top
R5,42.425,60.025,270.0,top
R6,38.185,29.945,270.0,top
R7,48.1,32.35,90.0,top
R8,50.3,32.35,90.0,top
R9,30.0,30.55,90.0,top
U1,37.985,38.25,0.0,top
U2,36.55,57.05,180.0,top
U3,60.3,47.15,0.0,top
U4,22.1,44.85,90.0,top
U5,73.7,19.95,270.0,top
U6,50.15,20.26,180.0,top
U7,17.0,16.06,90.0,top
U8,29.0,16.06,90.0,top
U9,20.35,24.8,90.0,top
X1,37.985,24.25,0.0,top
