Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
18:44:50.0693,622586.0,,,,1.54,1.54
18:44:51.0501,622686.0,,,,1.08,1.54
18:44:52.0224,622786.0,,,,1.54,2.23
18:44:52.0955,622886.0,,,,1.08,1.08
18:44:53.0686,622986.0,,,,1.54,0.39
18:44:54.0670,623086.0,,,,1.08,1.08
18:44:55.0412,623186.0,,,,-0.07,0.39
18:44:56.0126,623286.0,,,,2.23,1.54
18:44:57.0581,623386.0,FILL,STANDBY,331,1.54,1.08
18:44:58.0545,623486.0,FILL,STANDBY,331,0.39,-0.07
18:44:59.0302,623586.0,FILL,STANDBY,331,2.23,2.23
18:45:00.0043,623686.0,FILL,STANDBY,331,-0.07,1.08
18:45:00.0777,623786.0,FILL,STANDBY,331,1.54,1.08
18:45:01.0538,623886.0,FILL,STANDBY,331,0.39,1.08
18:45:02.0266,623986.0,FILL,STANDBY,331,2.23,1.08
18:45:02.0997,624086.0,FILL,STANDBY,331,1.08,1.08
18:45:03.0742,624186.0,FILL,STANDBY,331,1.54,1.54
18:45:04.0464,624286.0,FILL,STANDBY,331,2.69,1.08
18:45:05.0192,624386.0,FILL,STANDBY,332,1.08,1.08
18:45:05.0905,624486.0,FILL,STANDBY,332,1.54,1.54
18:45:06.0592,624586.0,FILL,STANDBY,332,1.08,0.39
18:45:07.0302,624686.0,FILL,STANDBY,332,0.39,0.39
18:45:08.0062,624786.0,FILL,STANDBY,332,0.39,2.23
18:45:08.0821,624886.0,FILL,STANDBY,332,0.39,0.39
18:45:09.0588,624986.0,FILL,STANDBY,332,0.39,0.39
18:45:10.0353,625086.0,FILL,STANDBY,332,1.08,1.54
18:45:11.0120,625186.0,FILL,STANDBY,332,1.08,1.08
18:45:11.0889,625286.0,FILL,STANDBY,332,1.08,2.23
18:45:12.0652,625386.0,FILL,STANDBY,333,1.54,2.69
18:45:13.0424,625486.0,FILL,STANDBY,333,1.08,1.08
18:45:14.0188,625586.0,FILL,STANDBY,333,1.54,2.23
18:45:14.0954,625686.0,FILL,STANDBY,333,1.08,1.08
18:45:15.0719,625786.0,FILL,STANDBY,333,0.39,0.39
18:45:16.0481,625886.0,FILL,STANDBY,333,2.23,-0.07
18:45:17.0246,625986.0,FILL,STANDBY,333,2.23,1.54
18:45:18.0007,626086.0,FILL,STANDBY,333,-0.76,2.23
18:45:18.0769,626186.0,FILL,STANDBY,333,1.54,-0.07
18:45:19.0510,626286.0,FILL,STANDBY,333,0.39,2.23
18:45:20.0304,626386.0,FILL,STANDBY,334,1.54,1.08
18:45:21.0045,626486.0,FILL,STANDBY,334,2.23,2.23
18:45:21.0811,626586.0,FILL,STANDBY,334,2.23,2.23
18:45:22.0591,626686.0,FILL,STANDBY,334,2.23,1.08
18:45:23.0377,626786.0,FILL,STANDBY,334,2.23,2.23
18:45:24.0160,626886.0,FILL,STANDBY,334,2.23,1.54
18:45:24.0924,626986.0,FILL,STANDBY,334,2.23,2.23
18:45:25.0694,627086.0,FILL,STANDBY,334,1.54,1.54
18:45:26.0442,627186.0,FILL,STANDBY,334,1.54,1.08
18:45:27.0162,627286.0,FILL,STANDBY,334,2.23,2.23
18:45:27.0887,627386.0,FILL,STANDBY,335,1.54,2.23
18:45:28.0606,627486.0,FILL,STANDBY,335,2.69,-0.07
18:45:29.0334,627586.0,FILL,STANDBY,335,2.23,4.53
18:45:30.0114,627686.0,FILL,STANDBY,335,-0.07,2.23
18:45:30.0890,627786.0,FILL,STANDBY,335,2.69,2.23
18:45:31.0663,627886.0,FILL,STANDBY,335,1.54,2.23
18:45:32.0427,627986.0,FILL,STANDBY,335,2.69,1.08
18:45:33.0191,628086.0,FILL,STANDBY,335,3.38,3.38
18:45:33.0953,628186.0,FILL,STANDBY,335,2.69,1.08
18:45:34.0721,628286.0,FILL,STANDBY,335,1.54,1.08
18:45:35.0484,628386.0,FILL,STANDBY,336,1.54,1.54
18:45:36.0223,628486.0,FILL,STANDBY,336,2.23,2.23
18:45:36.0977,628586.0,FILL,STANDBY,336,1.54,1.08
18:45:37.0711,628686.0,FILL,STANDBY,336,0.39,-0.07
18:45:38.0441,628786.0,FILL,STANDBY,336,1.08,1.08
18:45:39.0166,628886.0,FILL,STANDBY,336,2.23,2.23
18:45:39.0929,628986.0,FILL,STANDBY,336,1.08,0.39
18:45:40.0690,629086.0,FILL,STANDBY,336,1.54,1.54
18:45:41.0447,629186.0,FILL,STANDBY,336,1.54,2.23
18:45:42.0216,629286.0,FILL,STANDBY,336,1.54,2.69
18:45:42.0990,629386.0,FILL,STANDBY,337,1.08,2.23
18:45:43.0788,629486.0,FILL,STANDBY,337,0.39,1.54
18:45:44.0581,629586.0,FILL,STANDBY,337,2.69,2.69
18:45:45.0350,629686.0,FILL,STANDBY,337,1.54,1.54
18:45:46.0135,629786.0,FILL,STANDBY,337,1.54,1.54
18:45:46.0901,629886.0,FILL,STANDBY,337,-0.07,0.39
18:45:47.0632,629986.0,FILL,STANDBY,337,-0.07,2.23
18:45:48.0417,630086.0,FILL,STANDBY,337,1.54,0.39
18:45:49.0163,630186.0,FILL,STANDBY,337,2.23,0.39
18:45:49.0871,630286.0,FILL,STANDBY,337,0.39,-0.07
18:45:50.0609,630386.0,FILL,STANDBY,338,2.23,1.54
18:45:51.0333,630486.0,FILL,STANDBY,338,1.08,1.08
18:45:52.0095,630586.0,FILL,STANDBY,338,1.08,0.39
18:45:52.0877,630686.0,FILL,STANDBY,338,1.08,1.08
18:45:53.0646,630786.0,FILL,STANDBY,338,1.54,1.54
18:45:55.0429,630886.0,FILL,STANDBY,338,1.54,1.08
18:45:56.0297,630986.0,FILL,STANDBY,338,1.54,1.08
18:45:57.0058,631086.0,FILL,STANDBY,338,0.39,1.08
18:45:57.0835,631186.0,FILL,STANDBY,338,1.54,1.54
18:45:58.0615,631286.0,FILL,STANDBY,338,1.54,1.54
18:45:59.0375,631386.0,FILL,STANDBY,339,3.38,2.69
18:46:00.0148,631486.0,FILL,STANDBY,339,1.08,3.38
18:46:00.0913,631586.0,FILL,STANDBY,339,1.08,0.39
18:46:01.0671,631686.0,FILL,STANDBY,339,2.69,1.54
18:46:02.0430,631786.0,FILL,STANDBY,339,2.23,2.23
18:46:03.0188,631886.0,FILL,STANDBY,339,0.39,1.54
18:46:03.0946,631986.0,FILL,STANDBY,339,2.23,2.23
18:46:04.0715,632086.0,FILL,STANDBY,339,2.69,2.23
