Timestamp,t [ms],P_o,P_i
19:05:21.400,1853.287,1.08,1.54
19:05:21.606,1853.387,2.23,1.54
19:05:21.706,1853.487,1.08,1.08
19:05:21.706,1853.587,2.69,2.69
19:05:21.800,1853.687,-0.07,1.54
19:05:21.899,1853.787,1.54,1.08
19:05:22.003,1853.887,-0.76,-0.07
19:05:22.099,1853.987,2.23,3.84
19:05:22.200,1854.087,1.54,1.54
19:05:22.299,1854.187,1.54,3.38
19:05:22.401,1854.287,1.54,-0.07
19:05:22.513,1854.387,1.54,1.54
19:05:22.599,1854.487,1.54,1.08
19:05:22.699,1854.587,1.54,1.54
19:05:22.799,1854.687,2.23,1.54
19:05:22.900,1854.787,0.39,2.23
19:05:22.999,1854.887,1.54,1.54
19:05:23.099,1854.987,1.54,1.08
19:05:23.200,1855.087,1.08,1.08
19:05:23.299,1855.187,2.23,2.23
19:05:23.399,1855.287,1.54,2.23
19:05:23.513,1855.387,2.69,2.23
19:05:23.600,1855.487,1.54,1.08
19:05:23.699,1855.587,1.08,1.08
19:05:23.799,1855.687,0.39,0.39
19:05:23.900,1855.787,-0.07,0.39
19:05:23.999,1855.887,1.54,0.39
19:05:24.099,1855.987,1.08,1.54
19:05:24.199,1856.087,2.23,2.23
19:05:24.301,1856.187,-0.07,-0.07
19:05:24.399,1856.287,1.54,2.69
19:05:24.513,1856.387,0.39,1.08
19:05:24.600,1856.487,1.08,-0.07
19:05:24.699,1856.587,2.23,1.08
19:05:24.799,1856.687,2.23,2.23
19:05:24.900,1856.787,2.23,-0.07
19:05:24.999,1856.887,0.39,1.08
19:05:25.099,1856.987,1.08,2.69
19:05:25.199,1857.087,0.39,2.23
19:05:25.299,1857.187,2.23,2.23
19:05:25.400,1857.287,1.54,1.08
19:05:25.513,1857.387,2.69,0.39
19:05:25.599,1857.487,1.54,2.69
19:05:25.699,1857.587,3.38,1.54
19:05:25.799,1857.687,2.23,2.23
19:05:25.899,1857.787,1.54,1.08
19:05:26.000,1857.887,-0.07,0.39
19:05:26.099,1857.987,1.08,1.54
19:05:26.199,1858.087,2.23,1.54
19:05:26.300,1858.187,-0.07,2.23
19:05:26.399,1858.287,2.23,2.23
19:05:26.513,1858.387,1.08,0.39
19:05:26.600,1858.487,2.23,-0.07
19:05:26.699,1858.587,1.54,2.23
19:05:26.799,1858.687,1.08,1.08
19:05:26.899,1858.787,2.23,2.23
19:05:26.999,1858.887,1.54,2.23
19:05:27.099,1858.987,1.54,1.54
19:05:27.199,1859.087,0.39,0.39
19:05:27.299,1859.187,1.54,2.23
19:05:27.399,1859.287,2.23,2.23
19:05:27.513,1859.387,1.54,1.08
19:05:27.599,1859.487,1.08,2.23
19:05:27.699,1859.587,1.54,1.08
19:05:27.799,1859.687,2.23,1.54
19:05:27.899,1859.787,1.08,1.08
19:05:27.999,1859.887,1.54,0.39
19:05:28.099,1859.987,1.08,2.69
19:05:28.199,1860.087,1.08,1.08
19:05:28.299,1860.187,1.54,1.54
19:05:28.399,1860.287,2.69,2.69
19:05:28.514,1860.387,1.08,-0.76
19:05:28.599,1860.487,2.23,1.08
19:05:28.699,1860.587,1.08,1.08
19:05:28.799,1860.687,1.08,1.08
19:05:28.899,1860.787,2.23,2.23
19:05:28.999,1860.887,0.39,1.54
19:05:29.099,1860.987,1.54,1.54
19:05:29.199,1861.087,1.08,1.54
19:05:29.299,1861.187,2.23,1.54
19:05:29.399,1861.287,0.39,2.23
19:05:29.513,1861.387,1.54,1.54
19:05:29.602,1861.487,1.08,2.23
19:05:29.699,1861.587,2.23,0.39
19:05:29.799,1861.687,0.39,0.39
19:05:29.899,1861.787,1.54,1.08
19:05:30.001,1861.887,-0.07,-0.07
19:05:30.100,1861.987,1.08,1.08
19:05:30.199,1862.087,1.54,1.54
19:05:30.299,1862.187,1.54,2.23
19:05:30.400,1862.287,1.08,-0.07
19:05:30.513,1862.387,1.54,1.54
19:05:30.599,1862.487,1.54,1.08
19:05:30.699,1862.587,1.08,0.39
19:05:30.799,1862.687,0.39,1.54
19:05:30.899,1862.787,1.54,1.08
19:05:30.999,1862.887,1.54,1.54
19:05:31.099,1862.987,1.54,0.39
19:05:31.199,1863.087,0.39,0.39
19:05:31.299,1863.187,1.08,0.39
19:05:31.399,1863.287,1.54,0.39
19:05:31.513,1863.387,0.39,0.39
19:05:31.601,1863.487,1.08,-0.07
19:05:31.699,1863.587,2.23,1.08
19:05:31.799,1863.687,2.23,2.69
19:05:31.899,1863.787,1.54,0.39
19:05:31.999,1863.887,1.54,1.54
19:05:32.099,1863.987,1.08,2.23
19:05:32.199,1864.087,2.69,1.54
19:05:32.299,1864.187,2.23,2.69
19:05:32.399,1864.287,1.08,1.54
19:05:32.513,1864.387,2.23,0.39
19:05:32.599,1864.487,2.23,2.23
19:05:32.699,1864.587,2.23,0.39
19:05:32.799,1864.687,2.69,0.39
19:05:32.899,1864.787,1.08,1.54
19:05:32.999,1864.887,1.54,1.08
19:05:33.101,1864.987,-0.07,-0.07
19:05:33.200,1865.087,2.69,1.54
19:05:33.299,1865.187,1.08,3.38
19:05:33.399,1865.287,1.54,1.08
19:05:33.513,1865.387,1.08,1.08
19:05:33.603,1865.487,2.23,2.23
19:05:33.699,1865.587,2.69,2.23
19:05:33.799,1865.687,1.54,1.54
19:05:33.899,1865.787,1.08,2.23
19:05:33.999,1865.887,1.54,2.69
19:05:34.099,1865.987,1.08,1.08
19:05:34.200,1866.087,-0.07,2.23
19:05:34.299,1866.187,1.54,0.39
19:05:34.399,1866.287,1.08,1.54
19:05:34.513,1866.387,0.39,1.54
19:05:34.606,1866.487,1.54,1.54
19:05:34.699,1866.587,1.54,1.54
19:05:34.799,1866.687,1.54,1.54
19:05:34.899,1866.787,2.23,1.08
19:05:34.999,1866.887,2.69,1.54
19:05:35.099,1866.987,2.23,2.23
19:05:35.200,1867.087,1.08,1.54
19:05:35.299,1867.187,1.54,1.54
19:05:35.400,1867.287,2.23,2.69
19:05:35.513,1867.387,0.39,2.23
19:05:35.601,1867.487,1.54,0.39
19:05:35.699,1867.587,1.54,1.54
19:05:35.799,1867.687,1.54,2.23
19:05:35.899,1867.787,0.39,1.54
19:05:35.999,1867.887,2.69,1.08
19:05:36.099,1867.987,1.08,0.39
19:05:36.199,1868.087,1.08,1.08
19:05:36.299,1868.187,2.69,0.39
19:05:36.399,1868.287,2.69,1.54
19:05:36.514,1868.387,1.54,-0.76
19:05:36.604,1868.487,1.54,2.23
19:05:36.699,1868.587,1.54,1.54
19:05:36.799,1868.687,1.54,2.23
19:05:36.899,1868.787,0.39,0.39
19:05:37.000,1868.887,1.54,-0.07
19:05:37.099,1868.987,1.08,0.39
